,prediction,labels
0,8,25
1,6,6
2,8,8
3,39,21
4,9,9
5,46,8
6,3,9
7,8,21
8,1,1
9,6,6
10,8,8
11,8,8
12,6,6
13,8,8
14,46,46
15,1,1
16,8,8
17,1,1
18,8,8
19,10,21
20,9,9
21,8,21
22,46,46
23,8,21
24,46,46
25,8,8
26,37,37
27,47,21
28,49,21
29,16,21
30,8,8
31,37,9
32,49,21
33,46,46
34,49,8
35,19,6
36,8,8
37,8,8
38,8,21
39,8,8
40,8,8
41,37,37
42,37,37
43,19,6
44,1,1
45,1,1
46,37,37
47,1,1
48,45,45
49,8,37
50,8,8
51,8,6
52,8,8
53,16,21
54,6,6
55,11,21
56,33,33
57,9,9
58,39,21
59,39,39
60,45,45
61,8,8
62,45,45
63,19,21
64,45,45
65,16,46
66,8,8
67,6,6
68,16,46
69,46,46
70,39,39
71,39,21
72,17,25
73,8,8
74,6,6
75,8,8
76,8,8
77,8,8
78,8,8
79,8,21
80,1,1
81,8,25
82,1,1
83,8,1
84,9,9
85,8,6
86,39,21
87,8,8
88,40,21
89,39,21
90,39,21
91,37,37
92,8,25
93,33,33
94,8,8
95,1,1
96,8,21
97,8,8
98,6,6
99,8,8
