,prediction,labels
0,0,25
1,48,6
2,27,8
3,29,21
4,27,9
5,27,8
6,27,9
7,32,21
8,27,1
9,17,6
10,23,8
11,7,8
12,14,6
13,2,8
14,40,46
15,27,1
16,2,8
17,27,1
18,48,8
19,32,21
20,36,9
21,48,21
22,40,46
23,32,21
24,48,46
25,48,8
26,31,37
27,29,21
28,16,21
29,41,21
30,39,8
31,27,9
32,48,21
33,27,46
34,48,8
35,48,6
36,3,8
37,38,8
38,32,21
39,24,8
40,49,8
41,31,37
42,27,37
43,48,6
44,38,1
45,48,1
46,40,37
47,38,1
48,27,45
49,27,37
50,27,8
51,14,6
52,11,8
53,27,21
54,14,6
55,32,21
56,48,33
57,27,9
58,27,21
59,48,39
60,14,45
61,49,8
62,49,45
63,15,21
64,49,45
65,49,46
66,27,8
67,48,6
68,48,46
69,48,46
70,48,39
71,29,21
72,47,25
73,14,8
74,24,6
75,27,8
76,49,8
77,48,8
78,27,8
79,29,21
80,27,1
81,32,25
82,32,1
83,45,1
84,27,9
85,48,6
86,15,21
87,49,8
88,40,21
89,29,21
90,32,21
91,31,37
92,48,25
93,27,33
94,27,8
95,27,1
96,32,21
97,48,8
98,0,6
99,27,8
